company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
20 Microns Limited,    44.95,0,     0.00
20 Microns Limited,    44.95,0,     0.00
21st Century Management Services Limited,    64.25,0,     0.00
360 ONE WAM LIMITED,    17.75,19940804,    31.30
3M India Limited,    75.00,0,     0.00
3P Land Holdings Limited,    73.30,0,     0.00
63 moons technologies limited,    45.63,0,     0.00
A2Z Infra Engineering Limited,    28.14,49402301,    99.68
ABB India Limited,    75.00,0,     0.00
ACC Limited,    56.69,0,     0.00
ADF Foods Limited,    36.42,3076190,     7.69
AGS Transact Technologies Limited,    65.84,7155000,     8.95
AIA Engineering Limited,    58.47,0,     0.00
AION-TECH SOLUTIONS LIMITED,    53.89,0,     0.00
AJR INFRA AND TOLLING LIMITED,    20.60,193999800,   100.00
AMD Industries Limited,    66.69,0,     0.00
ANDHRA PAPER LIMITED,    72.31,0,     0.00
APL Apollo Tubes Limited,    29.44,0,     0.00
ARSS Infrastructure Projects Limited,    46.70,2646648,    24.92
ATLANTAA LIMITED,    72.18,0,     0.00
ATN International Limited,     0.17,0,     0.00
AU Small Finance Bank Limited,    25.45,0,     0.00
AVT Natural Products Limited,    75.00,0,     0.00
AXISCADES Technologies Limited,    60.30,5204000,    20.58
Aarti Drugs Limited,    57.13,0,     0.00
Aarti Industries Limited,    43.43,5800000,     3.68
Aarvee Denims & Exports Limited,    65.80,7872515,    51.00
Aban Offshore Limited,    46.00,5200000,    19.37
Abans Holdings Limited,    72.09,4382000,    12.12
Abhishek Corporation Limited,    57.63,8164316,    88.50
Accelya Solutions India Limited,    74.66,0,     0.00
Accuracy Shipping Limited,    63.69,1000,     0.00
Action Construction Equipment Limited,    66.82,0,     0.00
Adani Energy Solutions Limited,    73.22,21085980,     2.58
Adani Enterprises Limited,    72.61,671000,     0.08
Adani Green Energy Limited,    56.37,9086130,     1.02
Adani Ports and Special Economic Zone Limited,    65.89,24217000,     1.70
Adani Power Limited,    71.75,445588299,    16.10
Aditya Birla Capital Limited,    68.96,0,     0.00
Aditya Birla Fashion and Retail Limited,    52.32,0,     0.00
Aditya Birla Money Limited,    73.53,0,     0.00
Ador Welding Limited,    56.90,0,     0.00
Advanced Enzyme Technologies Limited,    43.49,0,     0.00
Advani Hotels & Resorts (India) Limited,    50.25,0,     0.00
Aegis Logistics Limited,    58.10,0,     0.00
Agarwal Industrial Corporation Limited,    57.20,0,     0.00
Agri-Tech (India) Limited,    31.10,0,     0.00
Agro Phos India Limited,    54.27,0,     0.00
Agro Tech Foods Limited,    51.77,0,     0.00
Ahlada Engineers Limited,    50.50,0,     0.00
Ahluwalia Contracts (India) Limited,    55.32,0,     0.00
Airo Lam limited,    53.02,1500200,    18.86
Ajanta Pharma Limited,    66.21,10220844,    12.26
Ajmera Realty & Infra India Limited,    74.20,1950000,     7.41
Akg Exim Limited,    57.84,0,     0.00
Aksh Optifibre Limited,    26.14,0,     0.00
Akzo Nobel India Limited,    74.76,0,     0.00
Alankit Limited,    54.15,0,     0.00
Alchemist Limited,    34.94,,
Alembic Limited,    70.88,0,     0.00
Alembic Pharmaceuticals Limited,    69.61,0,     0.00
Alicon Castalloy Limited,    55.71,0,     0.00
Alkali Metals Limited,    69.59,2130000,    30.06
Alkyl Amines Chemicals Limited,    71.96,0,     0.00
Allcargo Gati Limited,    52.93,276100,     0.40
Allcargo Logistics Limited,    69.92,0,     0.00
Allied Digital Services Limited,    52.20,0,     0.00
Allsec Technologies Limited,    73.39,0,     0.00
Almondz Global Securities Limited,    58.20,0,     0.00
Alok Industries Limited,    75.00,0,     0.00
Alpa Laboratories Limited,    57.29,0,     0.00
Alphageo (India) Limited,    46.09,280534,     9.56
Alps Industries Limited,    22.21,4019018,    46.27
Amara Raja Energy & Mobility Limited,    32.86,0,     0.00
Ambica Agarbathies & Aroma industries Limited,    43.69,50000,     0.67
Ambika Cotton Mills Limited,    50.17,0,     0.00
Ambuja Cements Limited,    66.76,0,     0.00
Amit Spinning Industries Limited,    50.96,0,     0.00
Amj Land Holdings Limited,    65.90,0,     0.00
Amrutanjan Health Care Limited,    50.66,0,     0.00
Anand Rathi Wealth Limited,    48.03,2250,     0.01
Anant Raj Limited,    60.00,0,     0.00
Andhra Cements Limited,    90.00,21890883,    26.39
Anik Industries Limited,    37.81,0,     0.00
Ankit Metal & Power Limited,    71.02,100215000,   100.00
Anmol India Limited,    57.08,10936900,    33.66
Ansal Properties & Infrastructure Limited,    48.77,55564816,    72.38
Antarctica Limited,    11.05,0,     0.00
Antony Waste Handling Cell Limited,    46.16,25000,     0.19
Anupam Rasayan India Limited,    61.26,6250000,     9.29
Apar Industries Limited,    57.77,0,     0.00
Apcotex Industries Limited,    58.23,0,     0.00
Apollo Hospitals Enterprise Limited,    29.33,6785000,    16.09
Apollo Micro Systems Limited,    53.21,31215000,    20.77
Apollo Pipes Limited,    51.20,0,     0.00
Apollo Sindoori Hotels Limited,    64.68,0,     0.00
Apollo Tyres Limited,    37.36,2545080,     1.07
Aptech Limited,    47.36,0,     0.00
Archean Chemical Industries Limited,    53.45,3002000,     4.55
Archidply Industries Limited,    69.89,0,     0.00
Archies Limited,    62.25,,
Arcotech Limited,    39.96,19154794,    45.65
Aries Agro Limited,    52.66,0,     0.00
Arihant Capital Markets Limited,    69.81,0,     0.00
Arihant Superstructures Limited,    74.71,0,     0.00
Aro Granite Industries Limited,    41.06,0,     0.00
Arshiya Limited,    14.37,37871225,   100.00
Arvind Fashions Limited,    36.78,3900000,     7.97
Arvind Limited,    41.13,7500000,     6.97
Arvind SmartSpaces Limited,    50.40,0,     0.00
Asahi India Glass Limited,    54.23,5200000,     3.94
Asahi Songwon Colors Limited,    66.77,0,     0.00
Ashapura Intimates Fashion Limited,    14.76,1924631,    51.73
Ashapura Minechem Limited,    45.39,12740174,    30.68
Ashiana Housing Limited,    61.11,0,     0.00
Ashima Limited,    73.49,0,     0.00
Ashok Leyland Limited,    51.91,331660000,    21.76
Ashoka Buildcon Limited,    54.48,0,     0.00
Asian Granito India Limited,    29.02,0,     0.00
Asian Hotels (East) Limited,    65.63,0,     0.00
Asian Hotels (North) Limited,     0.16,31500,    99.68
Asian Paints Limited,    52.66,35520427,     7.03
Astec LifeSciences Limited,    66.75,0,     0.00
Aster DM Healthcare Limited,    42.23,206834332,    98.05
Astra Microwave Products Limited,     6.54,0,     0.00
AstraZeneca Pharma India Limited,    75.00,0,     0.00
Astral Limited,    54.10,0,     0.00
Astron Paper & Board Mill Limited,    27.06,0,     0.00
Atcom Technologies Limited,    14.10,1371500,    63.39
Atlas Cycles (Haryana) Limited,    41.92,0,     0.00
Atul Limited,    45.17,130000,     0.98
Aurionpro Solutions Limited,    29.91,1576000,    21.23
Aurobindo Pharma Limited,    51.83,63368000,    20.86
Aurum PropTech Limited,    49.99,,
Ausom Enterprise Limited,    73.70,0,     0.00
Autoline Industries Limited,    33.39,0,     0.00
Automotive Axles Limited,    71.04,0,     0.00
Automotive Stampings and Assemblies Limited,    75.00,0,     0.00
Avadh Sugar & Energy Limited,    60.39,2879682,    23.82
Avanti Feeds Limited,    43.25,0,     0.00
Axis Bank Limited,    11.41,0,     0.00
Axita Cotton Limited,    62.77,13,     0.00
B. L. Kashyap and Sons Limited,    61.65,138233158,    99.46
B.A.G Films and Media Limited,    46.86,0,     0.00
BASF India Limited,    73.33,0,     0.00
BEML Limited,    54.03,0,     0.00
BF Investment Limited,    74.13,0,     0.00
BF Utilities Limited,    56.74,0,     0.00
BGR Energy Systems Limited,    51.01,21648468,    58.82
BIRLASOFT LIMITED,    40.93,0,     0.00
BLB Limited,    36.84,0,     0.00
BSL Limited,    56.71,0,     0.00
Bafna Pharmaceuticals Limited,    88.30,0,     0.00
Bajaj Auto Limited,    55.06,13822,     0.01
Bajaj Consumer Care Limited,    39.30,0,     0.00
Bajaj Electricals Limited,    62.80,1843556,     2.55
Bajaj Finance Limited,    54.85,0,     0.00
Bajaj Finserv Limited,    60.87,100360,     0.01
Bajaj Hindusthan Sugar Limited,    25.09,318743422,    99.44
Bajaj Holdings & Investment Limited,    51.46,334,     0.00
Bajel Projects Limited,    62.75,1843556,     2.55
Bal Pharma Limited,    51.23,0,     0.00
Balaji Amines Limited,    53.70,0,     0.00
Balaji Telefilms Limited,    34.21,0,     0.00
Balkrishna Industries Limited,    58.29,0,     0.00
Ballarpur Industries Limited,     0.10,0,     0.00
Balmer Lawrie & Company Limited,     0.00,0,
Balrampur Chini Mills Limited,    42.90,0,     0.00
Banaras Beads Limited,    58.14,0,     0.00
Banco Products (I) Limited,    67.88,0,     0.00
Bang Overseas Limited,    72.98,0,     0.00
Bank Of Baroda,    63.97,0,     0.00
Bank Of India,    73.38,0,     0.00
Bank of Maharashtra,    86.46,0,     0.00
Bannari Amman Spinning Mills Limited,    55.33,0,     0.00
Bannari Amman Sugars Limited,    58.70,0,     0.00
Banswara Syntex Limited,    54.37,0,     0.00
Barak Valley Cements Limited,    55.32,0,     0.00
Barbeque Nation Hospitality Limited,    33.71,86113,     0.65
Bata India Limited,    50.16,0,     0.00
Bcl Industries Limited,    56.08,7536340,     4.93
Beardsell Limited,    56.10,0,     0.00
Bedmutha Industries Limited,    57.05,17496105,    95.06
Berger Paints (I) Limited,    74.99,0,     0.00
Bhagyanagar India Limited,    72.34,0,     0.00
Bhansali Engineering Polymers Limited,    57.47,0,     0.00
Bharat Bijlee Limited,    33.72,0,     0.00
Bharat Electronics Limited,    51.14,0,     0.00
Bharat Forge Limited,    45.25,630,     0.00
Bharat Gears Limited,    55.32,0,     0.00
Bharat Heavy Electricals Limited,    63.17,0,     0.00
Bharat Petroleum Corporation Limited,    52.98,0,     0.00
Bharat Rasayan Limited,    74.99,20000,     0.64
Bharat Road Network Limited,    52.23,9999400,    22.80
Bharat Wire Ropes Limited,    40.76,13814250,    49.81
Bharati Defence and Infrastructure Limited,    40.58,20412281,   100.00
Bharatiya Global Infomedia Limited,    48.46,5059335,    65.90
Bharti Airtel Limited,    53.54,0,     0.00
Bhartiya International Limited,    57.35,0,     0.00
Bigbloc Construction Limited,    72.42,0,     0.00
Bil Energy Systems Limited,    46.79,64299720,    64.99
Binani Industries Limited,    52.62,0,     0.00
Biocon Limited,    60.95,0,     0.00
Biofil Chemicals & Pharmaceuticals Limited,    46.82,0,     0.00
Birla Cable Limited,    66.35,1250000,     6.28
Birla Corporation Limited,    62.90,0,     0.00
Birla Tyres Limited,    36.37,0,     0.00
Bkm Industries Limited,    37.54,2300000,     9.35
Black Box Limited,    71.09,10660175,     8.93
Bliss GVS Pharma Limited,    34.97,0,     0.00
Blue Blends (I) Limited,    53.16,11480000,    99.74
Blue Chip India Limited,    11.25,0,     0.00
Blue Coast Hotels Limited,    61.39,55442,     0.71
Blue Dart Express Limited,    75.00,0,     0.00
Blue Star Limited,    36.49,0,     0.00
Bodal Chemicals Limited,    57.39,0,     0.00
Bohra Industries Limited,    27.13,370000,     9.54
Bombay Burmah Trading Corporation Limited,    74.05,0,     0.00
Bombay Dyeing & Mfg Company Limited,    53.58,0,     0.00
Bombay Rayon Fashions Limited,    25.54,30868329,    38.07
Bosch Limited,    70.54,0,     0.00
Bpl Limited,    63.13,0,     0.00
Brand Concepts Limited,    48.71,0,     0.00
Brigade Enterprises Limited,    43.72,0,     0.00
Brightcom Group Limited,    18.38,9262114,     2.50
Britannia Industries Limited,    50.55,0,     0.00
Brooks Laboratories Limited,    63.59,0,     0.00
Burnpur Cement Limited,     1.98,0,     0.00
Butterfly Gandhimathi Appliances Limited,    75.00,0,     0.00
C & C Constructions Limited,    32.42,6460858,    78.32
CARE Ratings Limited,     0.00,0,
CCL Products (India) Limited,    46.26,0,     0.00
CEAT Limited,    47.21,0,     0.00
CESC Limited,    52.11,0,     0.00
CG Power and Industrial Solutions Limited,    58.12,,
CIE Automotive India Limited,    65.70,0,     0.00
CMI Limited,     0.50,0,     0.00
COSMO FIRST LIMITED,    46.33,0,     0.00
CRISIL Limited,    66.65,0,     0.00
California Software Company Limited,    35.73,0,     0.00
Cambridge Technology Enterprises Limited,    48.85,0,     0.00
Camlin Fine Sciences Limited,    48.03,10000000,    12.43
Can Fin Homes Limited,    29.99,0,     0.00
Canara Bank,    62.93,0,     0.00
Cantabil Retail India Limited,    73.28,,
Capacit'e Infraprojects Limited,    31.69,12035000,    44.89
Caplin Point Laboratories Limited,    70.62,0,     0.00
Capri Global Capital Limited,    69.89,0,     0.00
Carborundum Universal Limited,    41.23,0,     0.00
Career Point Limited,    63.68,0,     0.00
Castrol India Limited,    51.00,0,     0.00
Celebrity Fashions Limited,    35.32,14168540,    70.93
Celestial Biolabs Limited,    26.07,0,     0.00
Central Bank of India,    93.08,0,     0.00
Centrum Capital Limited,    42.22,51699250,    29.43
Centum Electronics Limited,    58.79,0,     0.00
Century Enka Limited,    24.86,0,     0.00
Century Extrusions Limited,    52.04,5636533,    13.54
Century Plyboards (India) Limited,    72.59,0,     0.00
Century Textiles & Industries Limited,    51.33,0,     0.00
Cera Sanitaryware Limited,    54.48,0,     0.00
Cerebra Integrated Technologies Limited,     0.84,0,     0.00
Chalet Hotels Limited,    71.67,47023720,    31.93
Chambal Fertilizers & Chemicals Limited,    60.70,61193864,    25.16
Chemcon Speciality Chemicals Limited,    74.47,4730000,    17.34
Chennai Petroleum Corporation Limited,    67.29,0,     0.00
Choice International Limited,    58.21,13288000,    11.45
Cholamandalam Financial Holdings Limited,    47.37,17200,     0.02
Cholamandalam Investment and Finance Company Limited,    50.37,,
Cigniti Technologies Limited,    32.77,0,     0.00
Cineline India Limited,    69.60,0,     0.00
Cinevista Limited,    67.43,0,     0.00
Cipla Limited,    33.61,0,     0.00
City Union Bank Limited,     0.00,0,
Coal India Limited,    63.13,0,     0.00
Coffee Day Enterprises Limited,     8.21,4994780,    28.80
Coforge Limited,     0.00,0,
Colgate Palmolive (India) Limited,    51.00,0,     0.00
Compucom Software Limited,    70.88,0,     0.00
Confidence Petroleum India Limited,    56.12,9175000,     5.15
Consolidated Construction Consortium Limited,    15.16,0,     0.00
Consolidated Finvest & Holdings Limited,    74.89,0,     0.00
Container Corporation Of India Limited,    54.80,0,     0.00
Coral India Finance & Housing Limited,    75.00,0,     0.00
Cords Cable Industries Limited,    51.86,0,     0.00
Coromandel International Limited,    57.32,12000,     0.01
Country Condo's Limited,    53.86,0,     0.00
Cox & Kings Financial Service Limited,    51.72,12615400,    33.48
Creative Eye Limited,    56.26,0,     0.00
Crest Ventures Limited,    70.00,0,     0.00
Crompton Greaves Consumer Electricals Limited,     0.00,0,
Cubex Tubings Limited,    44.42,0,     0.00
Cummins India Limited,    51.00,0,     0.00
Cupid Limited,    44.80,2357579,    39.22
Cura Technologies Limited,    12.55,0,     0.00
Cyber Media (India) Limited,    61.79,0,     0.00
Cybertech Systems And Software Limited,    36.45,0,     0.00
Cyient Limited,    24.05,0,     0.00
D-Link (India) Limited,    51.02,0,     0.00
D.B.Corp Limited,    71.93,0,     0.00
DB (International) Stock Brokers Limited,    36.18,6374465,    50.34
DCB Bank Limited,    14.77,0,     0.00
DCM  Limited,    48.54,0,     0.00
DCM Shriram Limited,    67.44,0,     0.00
DCW Limited,    44.08,0,     0.00
DEEP ENERGY RESOURCES LIMITED,    67.99,0,     0.00
DELPHI WORLD MONEY LIMITED,    75.00,0,     0.00
DIC India Limited,    71.75,0,     0.00
DLF Limited,    74.08,0,     0.00
DPSC Limited,    59.47,389515856,    67.26
DQ Entertainment (International) Limited,    75.00,59461972,   100.00
DS Kulkarni Developers Limited,    95.00,0,     0.00
Dabur India Limited,    66.25,0,     0.00
Dalmia Bharat Limited,    55.84,0,     0.00
Dalmia Bharat Sugar and Industries Limited,    74.91,0,     0.00
Damodar Industries Limited,    70.45,4940000,    30.09
Datamatics Global Services Limited,    66.44,0,     0.00
Dcm Financial Services Limited,    39.50,0,     0.00
De Nora India Limited,    53.68,0,     0.00
Debock Industries Limited,     9.41,0,     0.00
Deccan Cements Limited,    56.25,0,     0.00
Deepak Fertilizers And Petrochemicals Corporation Limited,    45.63,0,     0.00
Deepak Nitrite Limited,    49.13,0,     0.00
Delta Corp Limited,    33.26,0,     0.00
Delta Manufacturing Limited,    72.12,0,     0.00
Den Networks Limited,    75.00,0,     0.00
Dev Information Technology Limited,    70.20,0,     0.00
Devyani International Limited,    62.74,0,     0.00
Dhampur Sugar Mills Limited,    49.12,0,     0.00
Dhani Services Limited,    35.62,0,     0.00
Dhanlaxmi Bank Limited,     0.00,0,
Dhanuka Agritech Limited,    70.18,0,     0.00
Dharani Sugars & Chemicals Limited,    61.55,11032168,    53.98
Dhunseri Investments Limited,    74.95,0,     0.00
Dhunseri Tea & Industries Limited,    68.90,0,     0.00
Dhunseri Ventures Limited,    75.00,0,     0.00
DiGiSPICE Technologies Limited,    72.97,0,     0.00
Diligent Media Corporation Limited,    62.17,8830306,    12.07
Dilip Buildcon Limited,    70.15,25626627,    24.98
Dish TV India Limited,     4.04,8689621,    11.68
Divi's Laboratories Limited,    51.92,0,     0.00
Dixon Technologies (India) Limited,    33.44,0,     0.00
Donear Industries Limited,    74.56,0,     0.00
Dr. Reddy's Laboratories Limited,    26.83,0,     0.00
Dredging Corporation of India Limited,    73.47,,
Ducon Infratechnologies Limited,    51.97,20000000,    14.81
Dwarikesh Sugar Industries Limited,    42.09,0,     0.00
Dynacons Systems & Solutions Limited,    61.01,0,     0.00
Dynamatic Technologies Limited,    41.87,0,     0.00
EID Parry India Limited,    42.23,11000,     0.01
EIH Associated Hotels Limited,    75.00,0,     0.00
EIH Limited,    32.85,0,     0.00
EPL Limited,    51.50,0,     0.00
Eastern Silk Industries Limited,    51.28,40488351,   100.00
Eastern Sug & Inds Limited,     5.46,115000,     7.22
Easun Reyrolle Limited,    36.03,0,     0.00
Edelweiss Financial Services Limited,    37.52,0,     0.00
Educomp Solutions Limited,    44.78,51771578,    94.41
Eicher Motors Limited,    49.15,0,     0.00
Eimco Elecon (India) Limited,    74.06,0,     0.00
Elecon Engineering Company Limited,    59.27,0,     0.00
Electrosteel Castings Limited,    46.21,32675270,    11.44
Electrotherm (India) Limited,    31.04,300000,     7.58
Elgi Equipments Limited,    31.35,664160,     0.67
Elgi Rubber Company Limited,    65.03,0,     0.00
Emami Limited,    54.84,31330449,    13.09
Emami Paper Mills Limited,    74.97,0,     0.00
Emkay Global Financial Services Limited,    74.34,4851484,    26.43
Emmbi Industries Limited,    59.23,0,     0.00
Energy Development Company Limited,    58.14,0,     0.00
Engineers India Limited,    51.32,0,     0.00
Entertainment Network (India) Limited,    71.15,0,     0.00
Eon Electric Limited,    61.75,4098030,    39.26
Epigral Limited,    71.49,0,     0.00
Eris Lifesciences Limited,    54.90,13823970,    18.51
Eros International Media Limited,    16.25,0,     0.00
Esab India Limited,    73.72,0,     0.00
Escorts Kubota Limited,    69.51,0,     0.00
Essar Shipping Limited,    73.75,0,     0.00
Ester Industries Limited,    62.46,0,     0.00
Euro Ceramics Limited,    10.09,3403895,    99.99
Euro Multivision Limited,    47.01,0,     0.00
Eurotex Industries and Exports Limited,    70.99,0,     0.00
Eveready Industries India Limited,    43.20,4573,     0.01
Everest Industries Limited,    50.25,0,     0.00
Everest Kanto Cylinder Limited,    67.39,0,     0.00
Excel Industries Limited,    52.95,2182,     0.03
Excel Realty N Infra Limited,    19.12,0,     0.00
Exide Industries Limited,    45.99,0,     0.00
Expleo Solutions Limited,    71.05,0,     0.00
FCS Software Solutions Limited,    19.65,0,     0.00
FDC Limited,    69.66,0,     0.00
Fedders Electric and Engineering Limited,   100.00,,
Federal-Mogul Goetze (India) Limited.,    74.98,0,     0.00
Fertilizers and Chemicals Travancore Limited,    90.00,0,     0.00
Fiem Industries Limited,    66.56,0,     0.00
Filatex India Limited,    64.76,0,     0.00
Finolex Cables Limited,    36.02,0,     0.00
Finolex Industries Limited,    52.81,0,     0.00
Firstsource Solutions Limited,    55.00,0,     0.00
Five-Star Business Finance Limited,    26.51,200,     0.00
Flexituff Ventures International Limited,    33.79,6648720,    64.08
Foods & Inns Limited,    20.58,1188000,    10.17
Fortis Healthcare Limited,    31.17,0,     0.00
Foseco India Limited,    74.98,0,     0.00
Fusion Micro Finance Limited,    58.11,1620000,     2.76
Future Consumer Limited,     3.65,6341902,     8.70
Future Enterprises Limited,    16.37,45750000,    61.44
Future Enterprises Limited,    72.22,0,     0.00
Future Lifestyle Fashions Limited,    20.48,40968074,    99.12
Future Market Networks Limited,    65.31,0,     0.00
Future Retail Limited,    14.31,24162063,    31.14
Future Supply Chain Solutions Limited,    21.95,9632685,   100.00
GACM Technologies Limited,     8.27,0,     0.00
GACM Technologies Limited,     0.16,0,     0.00
GAIL (India) Limited,    52.25,0,     0.00
GB Global Limited,    99.95,4,     0.00
GE Power India Limited,    68.58,0,     0.00
GE T&D India Limited,    75.00,0,     0.00
GFL Limited,    68.72,0,     0.00
GHCL Limited,    19.04,200244,     1.10
GIC Housing Finance Limited,    42.41,0,     0.00
GKW Limited,    75.00,0,     0.00
GM Breweries Limited,    74.43,0,     0.00
GMR Airports Infrastructure Limited,    59.07,2076323947,    58.23
GNA Axles Limited,    68.16,0,     0.00
GOCL Corporation Limited,    72.82,0,     0.00
GP Petroleums Limited,    63.44,0,     0.00
GPT Infraprojects Limited,    75.00,29667720,    68.00
GRP Limited,    40.36,1000,     0.19
GSS Infotech Limited,    21.70,0,     0.00
GTL Infrastructure Limited,     3.28,420144016,   100.00
GTL Limited,    14.29,22000000,    97.86
GTPL Hathway Limited,    75.00,0,     0.00
GVK Power & Infrastructure Limited,    54.25,0,     0.00
Gabriel India Limited,    55.00,0,     0.00
Galaxy Surfactants Limited,    70.91,4000,     0.02
Gallantt Ispat Limited,    68.93,513500,     0.31
Gandhi Special Tubes Limited,    73.53,0,     0.00
Ganesh Housing Corporation Limited,    73.06,0,     0.00
Ganesha Ecosphere Limited,    36.60,0,     0.00
Gangotri Textiles Limited,    24.53,5987593,    74.84
Gayatri Highways Limited,    61.15,133199035,    90.89
Gayatri Projects Limited,     3.94,0,     0.00
GeeCee Ventures Limited,    67.71,0,     0.00
Genesys International Corporation Limited,    37.91,0,     0.00
Gensol Engineering Limited,    62.62,14955552,    63.06
Genus Paper & Boards Limited,    50.51,14000000,    10.78
Genus Power Infrastructures Limited,    42.66,79831609,    61.60
Geojit Financial Services Limited,    54.59,0,     0.00
Ghcl Textiles Limited,    19.15,200244,     1.09
Gillanders Arbuthnot & Company Limited,    69.08,0,     0.00
Gillette India Limited,    75.00,0,     0.00
Ginni Filaments Limited,    69.72,10408300,    17.43
Gitanjali Gems Limited,    27.76,25866102,    78.56
GlaxoSmithKline Pharmaceuticals Limited,    75.00,0,     0.00
Glenmark Life Sciences Limited,    82.85,9609571,     9.47
Glenmark Pharmaceuticals Limited,    46.64,0,     0.00
Global Vectra Helicorp Limited,    75.00,0,     0.00
Globe Textiles (India) Limited,    42.11,0,     0.00
Globus Spirits Limited,    50.98,0,     0.00
Gmr Power And Urban Infra Limited,    59.83,271250000,    75.11
Go Fashion (India) Limited,    52.79,4656200,    16.33
Goa Carbon Limited,    59.72,0,     0.00
Godawari Power And Ispat limited,    63.26,0,     0.00
Godfrey Phillips India Limited,    72.99,0,     0.00
Godha Cabcon & Insulation Limited,     7.97,0,     0.00
Godrej Consumer Products Limited,    63.21,4263670,     0.66
Godrej Industries Limited,    67.16,12708622,     5.62
Godrej Properties Limited,    58.48,0,     0.00
Goenka Diamond and Jewels Limited,    57.55,0,     0.00
Gokaldas Exports Limited,    10.58,0,     0.00
Gokul Agro Resources Limited,    73.62,15000000,    13.81
Gokul Refoils and Solvent Limited,    73.01,,
Golden Tobacco Limited,    30.04,0,     0.00
Goldiam International Limited,    64.26,0,     0.00
Granules India Limited,    41.96,4100000,     4.03
Graphite India Limited,    65.34,0,     0.00
Grasim Industries Limited,    43.37,0,     0.00
Gravita India Limited,    67.93,0,     0.00
Greaves Cotton Limited,    56.00,0,     0.00
Greenply Industries Limited,    52.00,0,     0.00
Grindwell Norton Limited,    58.03,0,     0.00
Gufic Biosciences Limited,    72.51,0,     0.00
Gujarat Alkalies and Chemicals Limited,    46.28,0,     0.00
Gujarat Ambuja Exports Limited,    63.84,0,     0.00
