company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
Gujarat Apollo Industries Limited,    54.79,0,     0.00
Gujarat Fluorochemicals Limited,    63.81,3500600,     4.99
Gujarat Industries Power Company Limited,    55.43,0,     0.00
Gujarat Lease Financing Limited,    45.67,0,     0.00
Gujarat Mineral Development Corporation Limited,    74.00,0,     0.00
Gujarat Narmada Valley Fertilizers and Chemicals Limited,    41.30,0,     0.00
Gujarat Pipavav Port Limited,    44.01,0,     0.00
Gujarat Raffia Industries Limited,    39.64,0,     0.00
Gujarat State Fertilizers & Chemicals Limited,    37.84,0,     0.00
Gujarat State Petronet Limited,    37.63,0,     0.00
Gulf Oil Lubricants India Limited,    71.80,0,     0.00
HBL Power Systems Limited,    59.11,0,     0.00
HCL Infosystems Limited,    62.89,0,     0.00
HCL Technologies Limited,    61.02,0,     0.00
HDFC Bank Limited,    13.54,0,     0.00
HEC Infra Projects Limited,    73.20,0,     0.00
HEG Limited,    55.78,0,     0.00
HFCL Limited,    37.75,241548750,    44.41
HIL Limited,    40.57,0,     0.00
HLV LIMITED,    47.03,105000000,    33.86
HMT Limited,    93.69,0,     0.00
HOV Services Limited,    50.42,0,     0.00
HT Media Limited,    70.13,0,     0.00
Happiest Minds Technologies Limited,    52.16,5483884,     6.90
Harrisons  Malayalam Limited,    54.12,0,     0.00
Hathway Cable & Datacom Limited,    75.00,0,     0.00
Hatsun Agro Product Limited,    73.15,0,     0.00
Havells India Limited,    59.43,0,     0.00
Heads UP Ventures Limited,    13.79,0,     0.00
Healthcare Global Enterprises Limited,    71.28,3067000,     3.09
HeidelbergCement India Limited,    69.39,0,     0.00
Hercules Hoists Limited,    69.61,0,     0.00
Heritage Foods Limited,    41.30,0,     0.00
Hero MotoCorp Limited,    34.76,0,     0.00
Hester Biosciences Limited,    53.73,0,     0.00
Heubach Colorants India Limited,    54.37,0,     0.00
Hexa Tradex Limited,    92.13,0,     0.00
Hi-Tech Pipes Limited,    53.20,2296000,     2.88
Hikal Limited,    68.85,0,     0.00
Hilton Metal Forging Limited,    27.67,0,     0.00
Himadri Speciality Chemical Limited,    50.29,0,     0.00
Himatsingka Seide Limited,    47.57,0,     0.00
Hind Rectifiers Limited,    44.05,0,     0.00
Hindalco Industries Limited,    35.10,0,     0.00
Hinduja Global Solutions Limited,    67.71,0,     0.00
Hindustan Composites Limited,    74.97,0,     0.00
Hindustan Construction Company Limited,    18.59,239919286,    85.32
Hindustan Copper Limited,    66.14,0,     0.00
Hindustan Media Ventures Limited,    74.61,0,     0.00
Hindustan Motors Limited,    32.34,0,     0.00
Hindustan Oil Exploration Company Limited,     0.00,0,
Hindustan Petroleum Corporation Limited,    54.90,0,     0.00
Hindustan Unilever Limited,    61.90,0,     0.00
Hindustan Zinc Limited,    64.92,2697920004,    98.35
Hindusthan National Glass & Industries Limited,    70.73,61123840,    96.50
Hitech Corporation Limited,    74.43,0,     0.00
Honda India Power Products Limited,    66.67,0,     0.00
Honeywell Automation India Limited,    75.00,0,     0.00
Housing Development and Infrastructure Limited,    39.28,0,     0.00
Hubtown Limited,    47.85,25658025,    67.08
Huhtamaki India Limited,    67.73,0,     0.00
ICDS Limited,    51.39,0,     0.00
ICICI Bank Limited,    19.58,0,     0.00
ICRA Limited,    52.20,0,     0.00
ICSA (India) Limited,     5.51,0,     0.00
IDBI Bank Limited,    94.71,0,     0.00
IDFC Limited,     0.00,0,
IFB Agro Industries Limited,    65.00,0,     0.00
IFB Industries Limited,    74.96,0,     0.00
IFCI Limited,    70.32,0,     0.00
IG Petrochemicals Limited,    68.74,0,     0.00
IIFL Finance Limited,    24.78,,
IL&FS Engineering and Construction Company Limited,    42.25,0,     0.00
IL&FS Investment Managers Limited,    50.42,0,     0.00
IL&FS Transportation Networks Limited,    73.22,236582632,    98.23
IMP Powers Limited,    16.76,1171751,    80.97
INCREDIBLE INDUSTRIES LIMITED,    74.96,23849513,    68.03
IOL Chemicals and Pharmaceuticals Limited,    48.19,0,     0.00
IPCA Laboratories Limited,    46.30,0,     0.00
IRB Infrastructure Developers Limited,    34.39,1014552000,    48.85
ISMT Limited,    74.95,39999,     0.02
ITC Limited,     0.05,0,     0.00
ITD Cementation India Limited,    46.64,0,     0.00
ITI Limited,    90.00,0,     0.00
IVP Limited,    71.32,0,     0.00
IVRCL Limited,     5.37,42032166,   100.00
IZMO Limited,    31.90,0,     0.00
Igarashi Motors India Limited,    75.00,0,     0.00
Imagicaaworld Entertainment Limited,    70.85,0,     0.00
Impex Ferro Tech Limited,    69.10,60764846,   100.00
Ind-Swift Laboratories Limited,    42.00,12054131,    48.57
Ind-Swift Limited,    55.58,12888400,    42.81
Indbank Merchant Banking Services Limited,    64.84,0,     0.00
India Glycols Limited,    61.01,0,     0.00
India Motor Parts and Accessories Limited,    30.71,0,     0.00
India Nippon Electricals Limited,    70.37,0,     0.00
Indiabulls Housing Finance Limited,     1.71,0,     0.00
Indiabulls Real Estate Limited,     0.18,0,     0.00
Indian Bank,    73.84,0,     0.00
Indian Card Clothing Company Limited,    67.33,0,     0.00
Indian Hume Pipe Company Limited,    72.34,11694995,    30.69
Indian Metals & Ferro Alloys Limited,    58.69,0,     0.00
Indian Oil Corporation Limited,    51.50,,
Indian Overseas Bank,    96.38,0,     0.00
Indian Terrain Fashions Limited,    34.24,0,     0.00
Indo Count Industries Limited,    58.74,0,     0.00
Indo Rama Synthetics (India) Limited,    74.84,0,     0.00
Indo Tech Transformers Limited,    75.00,4686000,    58.83
Indo Thai Securities Limited,    72.18,0,     0.00
Indo-National Limited,    65.35,0,     0.00
Indoco Remedies Limited,    58.76,0,     0.00
Indosolar Limited,    96.15,0,     0.00
Indowind Energy Limited,    50.76,0,     0.00
Indraprastha Gas Limited,    45.00,0,     0.00
Indraprastha Medical Corporation Limited,    51.00,0,     0.00
Indus Fila Limited,    44.10,70047,     0.82
Indus Towers Limited,    69.03,567164035,    30.49
Indusind Bank Limited,    23.02,53441870,    29.82
Industrial Investment Trust Limited,    54.87,0,     0.00
Infibeam Avenues Limited,    27.87,0,     0.00
Info Edge (India) Limited,    38.08,0,     0.00
Infomedia Press Limited,    50.69,0,     0.00
Infosys Limited,    24.07,0,     0.00
Ingersoll Rand (India) Limited,    75.00,0,     0.00
Inox Green Energy Services Limited,    55.72,21400000,    13.08
Inox Wind Limited,    52.87,3110000,     1.80
Insecticides (India) Limited,    72.16,0,     0.00
Inspirisys Solutions Limited,    69.95,0,     0.00
Integra Essentia Limited,    20.81,0,     0.00
Intense Technologies Limited,    20.71,0,     0.00
Intrasoft Technologies Limited,    47.68,0,     0.00
Inventure Growth & Securities Limited,    26.40,0,     0.00
Iris Business Services Limited,    37.10,0,     0.00
J.Kumar Infraprojects Limited,    46.65,8000000,    22.67
JB Chemicals & Pharmaceuticals Limited,    53.78,0,     0.00
JBF Industries Limited,    22.91,1800000,     9.60
JBM Auto Limited,    67.53,0,     0.00
JHS Svendgaard Laboratories Limited,    37.73,0,     0.00
JIK Industries Limited,    49.06,0,     0.00
JITF Infralogistics Limited,    63.03,0,     0.00
JK Cement Limited,    45.70,0,     0.00
JK Lakshmi Cement Limited,    46.34,0,     0.00
JK Paper Limited,    49.63,0,     0.00
JK Tyre & Industries Limited,    53.13,0,     0.00
JM Financial Limited,    56.44,0,     0.00
JSW Energy Limited,    73.88,130827794,    10.77
JSW Holdings Limited,    66.31,333702,     4.53
JSW Steel Limited,    45.17,166993511,    15.12
Jagran Prakashan Limited,    69.00,150134478,    99.97
Jagsonpal Pharmaceuticals Limited,    68.09,0,     0.00
Jai Balaji Industries Limited,    60.80,30782233,    30.94
Jai Corp Limited,    73.79,0,     0.00
Jain Irrigation Systems Limited,    30.37,0,     0.00
Jain Irrigation Systems Limited,    26.40,82020809,    46.54
Jain Studios Limited,    59.87,15924000,    93.02
Jaiprakash Associates Limited,    29.97,156750,     0.02
Jaiprakash Power Ventures Limited,    24.00,1302697997,    79.20
Jamna Auto Industries Limited,    49.94,3030000,     1.52
Jash Engineering Limited,    49.44,25000,     0.41
Jay Bharat Maruti Limited,    59.35,0,     0.00
Jayant Agro Organics Limited,    67.12,0,     0.00
Jayaswal Neco Industries Limited,    53.02,514838934,   100.00
Jaypee Infratech Limited,    60.98,708356087,    83.63
Jayshree Tea & Industries Limited,    50.68,0,     0.00
Jet Airways (India) Limited,    24.99,5895704,    20.77
Jet Freight Logistics Limited,    50.92,6180000,    26.16
Jindal Cotex Limited,    26.04,8896178,    75.90
Jindal Drilling And Industries Limited,    64.25,0,     0.00
Jindal Photo Limited,    74.20,0,     0.00
Jindal Poly Films Limited,    74.55,0,     0.00
Jindal Poly Investment and Finance Company Limited,    74.63,0,     0.00
Jindal Saw Limited,    63.76,0,     0.00
Jindal Stainless Limited,    60.49,0,     0.00
Jindal Steel & Power Limited,    62.93,81825030,    12.75
Jindal Worldwide Limited,    60.31,10903829,     9.02
Jocil Limited,    55.02,0,     0.00
Johnson Controls - Hitachi Air Conditioning India Limited,    74.25,6525812,    32.32
Jtekt India Limited,    74.98,0,     0.00
Jubilant Foodworks Limited,    42.29,13780000,     4.94
Jubilant Industries Limited,    74.78,0,     0.00
Jubilant Ingrevia Limited,    52.28,2825000,     3.39
Jubilant Pharmova Limited,    51.26,0,     0.00
Jumbo Bag Limited,    43.43,0,     0.00
Jupiter Wagons Limited,    70.12,0,     0.00
Just Dial Limited,    74.30,8888632,    14.07
Jyothy Labs Limited,    62.89,0,     0.00
Jyoti Structures Limited,     0.00,0,
K.M.Sugar Mills Limited,    56.51,0,     0.00
K.P.R. Mill Limited,    73.76,0,     0.00
KCP Limited,    43.95,0,     0.00
KCP Sugar and Industries Corporation Limited,    40.59,0,     0.00
KDDL Limited,    50.21,0,     0.00
KEC International Limited,    51.88,0,     0.00
KEI Industries Limited,    37.08,0,     0.00
KNR Constructions Limited,    51.09,0,     0.00
KPI Green Energy Limited,    53.08,14565116,    45.52
KPIT Technologies Limited,    40.54,0,     0.00
KRBL Limited,    60.17,0,     0.00
KSK Energy Ventures Limited,    25.60,96346490,    88.76
KSS Limited,     0.00,0,
Kabra Extrusion Technik Limited,    60.24,0,     0.00
Kajaria Ceramics Limited,    47.49,0,     0.00
Kakatiya Cement Sugar & Industries Limited,    54.25,0,     0.00
Kalpataru Projects International Limited,    40.59,20780234,    31.51
Kalyani Forge Limited,    58.71,0,     0.00
Kalyani Investment Company Limited,    74.97,0,     0.00
Kalyani Steels Limited,    64.70,0,     0.00
Kamat Hotels (I) Limited,    63.34,13862525,    84.49
Kamdhenu Limited,    58.74,0,     0.00
Kanani Industries Limited,    57.21,0,     0.00
Kanoria Chemicals & Industries Limited,    74.40,9612534,    29.57
Kansai Nerolac Paints Limited,    74.99,0,     0.00
Kapston Services Limited,    72.87,0,     0.00
Karma Energy Limited,    74.70,0,     0.00
Karur Vysya Bank Limited,     2.20,1182784,     6.70
Karuturi Global Limited,    24.47,10000000,     2.73
Kaushalya Infrastructure Development Corporation Limited,    51.42,0,     0.00
Kaveri Seed Company Limited,    62.09,,
Kavveri Telecom Products Limited,    15.14,1050000,    34.47
Kellton Tech Solutions Limited,    51.94,8400000,    16.69
Kernex Microsystems (India) Limited,    29.15,428297,     8.77
Kesoram Industries Limited,    43.34,68817624,    51.11
Kewal Kiran Clothing Limited,    74.26,0,     0.00
Keynote Financial Services Limited,    56.43,0,     0.00
Khaitan (India) Limited,    60.24,940000,    32.85
Khaitan Chemicals & Fertilizers Limited,    74.99,0,     0.00
Khandwala Securities Limited,    47.76,1733321,    23.79
Kilitch Drugs (India) Limited,    69.23,0,     0.00
Kiri Industries Limited,    26.72,59573,     0.43
Kirloskar Brothers Limited,    65.95,0,     0.00
Kirloskar Electric Company Limited,    49.51,24886143,    75.68
Kirloskar Industries Limited,    71.51,0,     0.00
Kirloskar Oil Engines Limited,    41.21,0,     0.00
Kitex Garments Limited,    56.66,0,     0.00
Kohinoor Foods Limited,    37.67,0,     0.00
Kokuyo Camlin Limited,    74.99,0,     0.00
Kolte - Patil Developers Limited,    69.45,0,     0.00
Kopran Limited,    44.49,0,     0.00
Kotak Mahindra Bank Limited,    25.90,0,     0.00
Kothari Petrochemicals Limited,    70.98,0,     0.00
Kothari Products Limited,    74.99,0,     0.00
Kothari Sugars And Chemicals Limited,    73.53,0,     0.00
Kovai Medical Center & Hospital Limited,    50.02,0,     0.00
Krebs Biochemicals and Industries Limited,    72.74,0,     0.00
Kridhan Infra Limited,    47.15,0,     0.00
Krishana Phoschem Limited,    71.01,1000,     0.00
Krishna Institute of Medical Sciences Limited,    38.82,5002438,    16.10
Ksb Limited,    66.69,0,     0.00
Kshitij Polyline Limited,     0.00,0,
Kuantum Papers Limited,    70.30,0,     0.00
L&T Finance Limited,    65.86,0,     0.00
LCC Infotech Limited,    45.84,0,     0.00
LEEL Electricals Limited,    42.11,84411,     0.50
LG Balakrishnan & Bros Limited,    33.74,0,     0.00
LGB Forge Limited,    73.79,0,     0.00
LIC Housing Finance Limited,    45.24,0,     0.00
LLOYDS ENGINEERING WORKS LIMITED,    57.45,0,     0.00
LT Foods Limited,    51.00,0,     0.00
La Opala RG Limited,    65.64,0,     0.00
Lagnam Spintex Limited,    68.50,5829000,    48.16
Lakshmi Energy and Foods Limited,    53.40,,
Lakshmi Finance & Industrial Corporation Limited,    47.00,0,     0.00
Lakshmi Machine Works Limited,    31.13,,
Lakshmi Precision Screws Limited,    62.85,0,     0.00
Lambodhara Textiles Limited,    73.17,2982506,    39.28
Landmark Property Development Company Limited,    64.86,0,     0.00
Larsen & Toubro Limited,     1.37,0,     0.00
Lasa Supergenerics Limited,    53.65,5553649,    20.66
Laurus Labs Limited,    27.19,0,     0.00
Lemon Tree Hotels Limited,    22.93,0,     0.00
Liberty Shoes Limited,    58.50,75000,     0.75
Linde India Limited,    75.00,0,     0.00
Lloyds Metals And Energy Limited,    65.73,80433193,    24.22
Lokesh Machines Limited,    50.76,628000,     6.69
Lotus Eye Hospital and Institute Limited,    41.40,0,     0.00
Lovable Lingerie Limited,    63.95,0,     0.00
Lumax Auto Technologies Limited,    55.98,0,     0.00
Lumax Industries Limited,    75.00,0,     0.00
Lupin Limited,    47.01,0,     0.00
Lyka Labs Limited,    54.81,0,     0.00
Lypsa Gems & Jewellery Limited,    36.37,0,     0.00
MBL Infrastructure Limited,    67.40,1060000,     1.50
MEP Infrastructure Developers Limited,    32.41,49974268,    84.05
MIRC Electronics Limited,    53.36,42525503,    34.51
MM Forgings Limited,    56.34,0,     0.00
MMTC Limited,    89.93,0,     0.00
MOIL Limited,    64.68,0,     0.00
MPS Limited,    69.19,0,     0.00
MRF Limited,    27.78,1100,     0.09
MRO-TEK Realty Limited,    55.04,0,     0.00
MSP Steel & Power Limited,    41.62,160405525,   100.00
MT Educare Limited,    59.12,21668416,    50.74
MVL Limited,    55.59,102348420,    30.62
Maan Aluminium Limited,    58.87,0,     0.00
Macrotech Developers Limited,    72.16,0,     0.00
Madhav Marbles and Granites Limited,    43.47,0,     0.00
Madhucon Projects Limited,    59.08,0,     0.00
Madhya Bharat Agro Products Limited,    74.52,0,     0.00
Madras Fertilizers Limited,    85.27,0,     0.00
Magnum Ventures Limited,    51.36,0,     0.00
Maha Rashtra Apex Corporation Limited,    62.54,0,     0.00
Mahanagar Telephone Nigam Limited,    56.25,0,     0.00
Maharashtra Scooters Limited,    51.00,0,     0.00
Maharashtra Seamless Limited,    68.00,0,     0.00
Mahindra & Mahindra Financial Services Limited,    52.25,0,     0.00
Mahindra & Mahindra Limited,    24.20,140000,     0.05
Mahindra Holidays & Resorts India Limited,    66.97,0,     0.00
Mahindra Lifespace Developers Limited,    51.17,0,     0.00
Maithan Alloys Limited,    74.99,0,     0.00
Mallcom (India) Limited,    73.69,0,     0.00
Malu Paper Mills Limited,    69.95,0,     0.00
Man Industries (India) Limited,    46.15,8130000,    27.21
Man Infraconstruction Limited,    67.31,0,     0.00
Manaksia Coated Metals & Industries Limited,    69.19,0,     0.00
Manaksia Limited,    74.93,0,     0.00
Manali Petrochemicals Limited,    44.86,0,     0.00
Manappuram Finance Limited,    35.20,0,     0.00
Mangalam Cement Limited,    36.94,0,     0.00
Mangalam Drugs And Organics Limited,    50.32,1400100,    17.58
Mangalore Chemicals & Fertilizers Limited,    60.63,34550907,    48.09
Mangalore Refinery and Petrochemicals Limited,    88.58,0,     0.00
Manpasand Beverages Limited,    44.33,50730000,    99.97
Manugraph India Limited,    57.67,0,     0.00
Maral Overseas Limited,    74.95,14942880,    48.03
Marico Limited,    59.46,1000000,     0.13
Marksans Pharma Limited,    43.85,0,     0.00
Maruti Suzuki India Limited,    58.19,0,     0.00
Mastek Limited,    36.26,,
Mawana Sugars Limited,    63.49,0,     0.00
Max Financial Services Limited,     6.52,15570547,    69.15
Max Healthcare Institute Limited,    23.75,0,     0.00
Max India Limited,    50.94,0,     0.00
Mayur Uniquoters Ltd,    58.52,0,     0.00
McDowell Holdings Limited,     2.27,317030,   100.00
Mcleod Russel India Limited,     6.25,3724,     0.06
Mcnally Bharat Engineering Company Limited,    32.79,6536722,     9.42
Medplus Health Services Limited,    40.49,26153991,    54.04
Megasoft Limited,    43.54,0,     0.00
Meghmani Organics Limited,    49.32,0,     0.00
Melstar Information Technologies Limited,    47.06,0,     0.00
Menon Bearings Limited,    70.18,2300000,     5.85
Mercator Limited,     3.01,9000000,    98.88
Metalyst Forgings Limited,    61.32,0,     0.00
Metkore Alloys & Industries Limited,    57.22,,
Metropolis Healthcare Limited,    49.67,300000,     1.18
Mic Electronics Limited,    74.59,3377000,     2.04
Mirza International Limited,    71.39,0,     0.00
Modi Rubber Limited,    62.69,0,     0.00
Mohit Industries Limited,    54.32,0,     0.00
Mold-Tek Packaging Limited,    32.76,25000,     0.23
Mold-Tek Technologies Limited,    49.02,0,     0.00
Monarch Networth Capital Limited,    55.92,608417,     3.21
Monte Carlo Fashions Limited,    73.17,0,     0.00
Morarjee Textiles Limited,    63.87,0,     0.00
Morepen Laboratories Limited,    38.22,0,     0.00
Motherson Sumi Wiring India Limited,    61.73,0,     0.00
Motilal Oswal Financial Services Limited,    69.16,2000,     0.00
MphasiS Limited,    55.46,0,     0.00
Mtar Technologies Limited,    37.26,984666,     8.59
Mukand Limited,    74.70,0,     0.00
Mukta Arts Limited,    70.71,0,     0.00
Munjal Auto Industries Limited,    74.81,0,     0.00
Munjal Showa Limited,    65.02,0,     0.00
Murudeshwar Ceramics Limited,    73.94,0,     0.00
Muthoot Finance Limited,    73.35,0,     0.00
N R Agarwal Industries Limited,    73.96,12516998,    99.43
NACL Industries Limited,    63.72,9033424,     7.12
NAVA LIMITED,    48.84,0,     0.00
NBCC (India) Limited,    61.75,0,     0.00
NCC Limited,    22.00,0,     0.00
NCL Industries Limited,    43.71,3730677,    18.87
NDL Ventures Limited,    64.67,0,     0.00
NELCO Limited,    50.09,0,     0.00
NHPC Limited,    67.40,0,     0.00
NIIT Limited,    34.72,0,     0.00
NK Industries Limited,    73.27,,
NLC India Limited,    72.20,0,     0.00
NMDC Limited,    60.79,0,     0.00
NOCIL Limited,    33.84,7391360,    13.11
NRB Bearing Limited,    50.69,0,     0.00
NRB Industrial Bearings Limited,    74.59,0,     0.00
NTPC Limited,    51.10,0,     0.00
Nagarjuna Fertilizers and Chemicals Limited,    56.99,296072140,    86.86
Nagreeka Capital & Infrastructure Limited,    53.53,0,     0.00
Nagreeka Exports Limited,    57.32,0,     0.00
Nahar Capital and Financial Services Limited,    71.54,0,     0.00
Nahar Industrial Enterprises Limited,    71.24,0,     0.00
Nahar Poly Films Limited,    71.48,0,     0.00
Nahar Spinning Mills Limited,    67.04,0,     0.00
Nakoda Group of Industries Limited,    60.35,900000,    11.72
Nakoda Limited,    45.62,6218400,     4.54
Nalwa Sons Investments Limited,    55.62,0,     0.00
Nandan Denim Limited,    64.87,0,     0.00
Nandani Creation Limited,    51.46,1339100,    22.76
Narmada Agrobase Limited,    63.57,0,     0.00
Natco Pharma Limited,    49.71,0,     0.00
Nath Bio-Genes (India) Limited,    45.60,1419000,    16.38
National Aluminium Company Limited,    51.28,0,     0.00
National Fertilizers Limited,    74.71,0,     0.00
Navin Fluorine International Limited,    28.81,450000,     3.15
Navkar Corporation Limited,    70.45,0,     0.00
Navneet Education Limited,    63.31,0,     0.00
Nazara Technologies Limited,    16.43,0,     0.00
Nectar Lifesciences Limited,    64.87,99468000,    68.38
Nelcast Limited,    74.87,0,     0.00
Nesco Limited,    68.54,0,     0.00
Network18 Media & Investments Limited,    75.00,0,     0.00
Neueon Towers Limited,    37.27,21073086,    99.99
Neuland Laboratories Limited,    32.74,0,     0.00
New Delhi Television Limited,    69.71,0,     0.00
Next Mediaworks Limited,    74.99,0,     0.00
Nilkamal Limited,    64.54,0,     0.00
Nippon Life India Asset Management Limited,    72.86,0,     0.00
Nitco Limited,    47.93,33322465,    96.74
Nitin Fire Protection Industries Limited,    23.69,37163888,    53.68
Nitin Spinners Limited,    56.46,0,     0.00
Noida Toll Bridge Company Limited,    26.37,0,     0.00
Norben Tea & Exports Limited,    51.44,0,     0.00
Nu Tek India Limited,     9.51,,
Nucleus Software Exports Limited,    73.27,0,     0.00
OM INFRA LIMITED,    69.09,0,     0.00
ORIENT CERATECH LIMITED,    63.58,0,     0.00
Oberoi Realty Limited,    67.70,0,     0.00
Oil & Natural Gas Corporation Limited,    58.89,0,     0.00
Oil Country Tubular Limited,    49.22,14489000,    66.47
Oil India Limited,    56.66,0,     0.00
Olectra Greentech Limited,    50.02,0,     0.00
Omax Autos Limited,    54.72,0,     0.00
Omaxe Limited,    74.14,46485657,    34.28
Omkar Speciality Chemicals Limited,    14.71,1717052,    56.73
OnMobile Global Limited,    47.94,0,     0.00
Onelife Capital Advisors Limited,    52.10,5400000,    77.59
Onward Technologies Limited,    38.12,0,     0.00
Optiemus Infracom Limited,    74.89,0,     0.00
Opto Circuits (India) Limited,    18.52,0,     0.00
Oracle Financial Services Software Limited,    72.75,0,     0.00
Orbit Exports Limited,    66.27,0,     0.00
Orchid Pharma Limited,    69.84,0,     0.00
Oricon Enterprises Limited,    66.97,0,     0.00
Orient Bell Limited,    64.90,0,     0.00
Orient Cement Limited,    37.90,0,     0.00
Orient Electric Limited,    38.31,0,     0.00
Orient Green Power Company Limited,    29.42,288308809,    99.92
Orient Paper & Industries Limited,    38.74,0,     0.00
Orient Press Limited,    73.00,0,     0.00
Oriental Hotels Limited,    67.55,152320,     0.13
Oriental Trimex Limited,    27.24,0,     0.00
Oswal Agro Mills Limited,    41.91,0,     0.00
Oswal Greentech Limited,    64.34,0,     0.00
PAKKA LIMITED,    47.79,15910156,    84.99
PC Jeweller Limited,    54.53,0,     0.00
PCBL LIMITED,    51.41,0,     0.00
PDS Limited,    65.93,0,     0.00
PG Electroplast Limited,    53.70,0,     0.00
PI Industries Limited,    46.10,0,     0.00
PIL ITALICA LIFESTYLE LIMITED,    50.09,0,     0.00
PNB GILTS LTD.,    74.07,0,     0.00
PNC Infratech Limited,    56.07,0,     0.00
PPAP Automotive Limited,    65.01,0,     0.00
PTC India Financial Services Limited,    64.99,0,     0.00
PTC India Limited,    16.22,0,     0.00
PTL Enterprises Limited,    69.82,,
PVP Ventures Limited,    61.40,0,     0.00
PVR INOX Limited,    27.84,1440000,     5.27
Page Industries Limited,    45.11,0,     0.00
Paisalo Digital Limited,    65.22,58775000,    10.04
Palash Securities Limited,    72.11,0,     0.00
Panacea Biotec Limited,    73.59,0,     0.00
Panama Petrochem Limited,    67.86,0,     0.00
Parag Milk Foods Limited,    42.75,0,     0.00
Paramount Communications Limited,    49.31,39674457,    26.52
Paras Petrofils Limited,    40.35,0,     0.00
Parenteral Drugs (India) Limited,    73.29,20649243,    94.50
Parsvnath Developers Limited,    66.30,86480000,    29.97
Pasupati Acrylon Limited,    65.87,0,     0.00
Patanjali Foods Limited,    73.77,,
Patel Engineering Limited,    44.21,270363109,    79.05
Patel Integrated Logistics Limited,    36.85,0,     0.00
Pearl Global Industries Limited,    66.19,0,     0.00
Pearl Polymers Limited,    55.58,0,     0.00
Peninsula Land Limited,    65.30,0,     0.00
Pennar Industries Limited,    39.62,1500000,     2.81
Persistent Systems Limited,    32.14,0,     0.00
Petronet LNG Limited,    50.00,0,     0.00
Pfizer Limited,    63.92,0,     0.00
Pidilite Industries Limited,    69.77,0,     0.00
Pioneer Embroideries Limited,    29.65,5300000,    60.65
Piramal Enterprises Limited,    46.69,0,     0.00
Pitti Engineering Limited,    59.29,3889060,    20.47
Plastiblends India Limited,    64.38,0,     0.00
